Network,Category,Contract,Contract Address,Function,Timestamp (UTC),Status,Source Account,Role,Transaction Hash,Explorer Link
Mainnet,ZK Verification,Groth16 Verifier,CATKJ2WBLQXGNVMGZ6E4JEZVTRMVJO2SKA3H7VH53TVD2HJPSBQ46MRD,initialize,2026-07-11 00:38:19,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,7328780206efadf296b576883da026e26a8e2ed41e55117bd82215f5b51fa42d,https://stellar.expert/explorer/public/tx/7328780206efadf296b576883da026e26a8e2ed41e55117bd82215f5b51fa42d
Mainnet,Compliance,ASP Membership,CBJWADSNYX52I6GEASN5P7MS6NWQ4O5WWQJOPTNSKCRHYTK2BYET6YB3,initialize,2026-07-11 00:39:11,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,edc427ee21a539b54a42703a393b44b2d013238631fb15ee8d1020e4af59b3dd,https://stellar.expert/explorer/public/tx/edc427ee21a539b54a42703a393b44b2d013238631fb15ee8d1020e4af59b3dd
Mainnet,Compliance,ASP Non-Membership,CBJSFSZOEOEBSBTUZPTFZNAMP37PU7GKVFRERYSBTMYY7KPG6QKMAAQE,initialize,2026-07-11 00:40:03,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,d44129c655ff44a0044446d0c0b712f2bb22c4c8cb3b26a87323ceb5f3a54e85,https://stellar.expert/explorer/public/tx/d44129c655ff44a0044446d0c0b712f2bb22c4c8cb3b26a87323ceb5f3a54e85
Mainnet,Core Pool,Shielded Pool (XLM),CB2NWPFWW5YLD6UYWR4RFERECSMBF6SB62P7RRP2LF2P2EMDSDLAZ3OW,initialize,2026-07-11 00:40:57,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,fe8c2f6939581cc9160bce81a3baa5d8b71844187e028f40d12efe0a687fc28d,https://stellar.expert/explorer/public/tx/fe8c2f6939581cc9160bce81a3baa5d8b71844187e028f40d12efe0a687fc28d
Mainnet,ZK Verification,Groth16 Verifier,CATKJ2WBLQXGNVMGZ6E4JEZVTRMVJO2SKA3H7VH53TVD2HJPSBQ46MRD,set_vk,2026-07-11 00:41:13,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,c4f2092ded23035d02406af72635b55ed100158ba6b2a85556192fb0c3e6e011,https://stellar.expert/explorer/public/tx/c4f2092ded23035d02406af72635b55ed100158ba6b2a85556192fb0c3e6e011
Mainnet,ZK Verification,Groth16 Verifier,CATKJ2WBLQXGNVMGZ6E4JEZVTRMVJO2SKA3H7VH53TVD2HJPSBQ46MRD,set_vk,2026-07-11 00:41:30,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,4331b65e2bd9c1821f0775c9c4c5a9eba37f438372bd2762445f407dd063d7a6,https://stellar.expert/explorer/public/tx/4331b65e2bd9c1821f0775c9c4c5a9eba37f438372bd2762445f407dd063d7a6
Mainnet,Compliance,ASP Membership,CBJWADSNYX52I6GEASN5P7MS6NWQ4O5WWQJOPTNSKCRHYTK2BYET6YB3,insert_leaf,2026-07-11 05:27:02,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,d58e0121e8c17b56efe3c0b38021d9185aab8e94b5975b72237b259123c490ac,https://stellar.expert/explorer/public/tx/d58e0121e8c17b56efe3c0b38021d9185aab8e94b5975b72237b259123c490ac
Mainnet,Core Pool,Shielded Pool (XLM),CB2NWPFWW5YLD6UYWR4RFERECSMBF6SB62P7RRP2LF2P2EMDSDLAZ3OW,deposit,2026-07-11 06:03:01,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,79e41737f80c5bb5eb197675d2d5410f596f1280c6a07c9bee277a34d095fe28,https://stellar.expert/explorer/public/tx/79e41737f80c5bb5eb197675d2d5410f596f1280c6a07c9bee277a34d095fe28
Mainnet,Core Pool,Shielded Pool (XLM),CB2NWPFWW5YLD6UYWR4RFERECSMBF6SB62P7RRP2LF2P2EMDSDLAZ3OW,deposit,2026-07-11 06:13:55,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,d09b24f89406e5b5e6a990754f7e9cae5e47c58f1facb0c829df47b6eb9fcbb4,https://stellar.expert/explorer/public/tx/d09b24f89406e5b5e6a990754f7e9cae5e47c58f1facb0c829df47b6eb9fcbb4
Mainnet,Core Pool,Shielded Pool (XLM),CB2NWPFWW5YLD6UYWR4RFERECSMBF6SB62P7RRP2LF2P2EMDSDLAZ3OW,withdraw,2026-07-11 06:14:53,Success,GBMH5RK4SK4LWMU3I4WFIEMTJXRK6GI44W3U5NCFOTWMQX32OCNQWCEF,Deployer / User,9bbf15cdb1496881db355151f91eca4bae7a7efd5561ba447339d088ee993a12,https://stellar.expert/explorer/public/tx/9bbf15cdb1496881db355151f91eca4bae7a7efd5561ba447339d088ee993a12
